# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2084
#@/user_id	fwar34_sync
a 	啊	c=2 d=0.331211 t=2084
xin ling 	心靈	c=1 d=0.425283 t=2084
xing 	行	c=1 d=1 t=1660
xing ba 	行吧	c=1 d=1 t=1605
xiu fu 	修復	c=14 d=3.39149 t=2084
xiu gai 	修改	c=4 d=0.549168 t=2084
xu 	續	c=1 d=1 t=1291
xu ni 	虛擬	c=9 d=4.24362 t=2084
xu ni zhu chi ren 	虛擬主持人	c=1 d=1 t=656
xu qiu 	需求	c=1 d=0.201897 t=2084
xu yao 	需要	c=20 d=2.48181 t=2084
yan chang 	延長	c=1 d=1 t=662
yan zheng 	驗證	c=4 d=3.32402 t=2084
yang 	楊	c=1 d=0.262838 t=1974
yang xiao feng 	楊小峯	c=1 d=1 t=1975
yao 	要	c=7 d=1.30739 t=1921
yao gen 	要跟	c=1 d=1 t=646
yao kan 	要看	c=2 d=1.5273 t=1119
yao kan dai ma 	要看代碼	c=1 d=1 t=962
yao qing 	邀請	c=2 d=1.90484 t=604
yao qu 	要去	c=2 d=1.34819 t=1788
yao wen 	要問	c=1 d=1 t=1637
ye 	也	c=5 d=1.31095 t=2084
ye hui 	也會	c=1 d=0.290835 t=2084
ye tie xia 	也貼下	c=1 d=0.625002 t=2084
ye wu 	業務	c=5 d=0.749778 t=2084
yi 	一	c=0 d=0.0980199 t=2084
yi 	已	c=1 d=0.0955997 t=2084
yi 	翼	c=1 d=1 t=2084
yi ci 	一次	c=1 d=1 t=774
yi dong 	移動	c=1 d=0.640824 t=2084
yi duan 	一段	c=1 d=1 t=730
yi fang kuo hao 	一方括號	c=1 d=0.985112 t=2084
yi ge 	一個	c=6 d=0.980199 t=2084
yi jie jue 	已解決	c=1 d=0.960789 t=2084
yi jing 	已經	c=10 d=1.37385 t=2084
yi kai shi 	一開始	c=1 d=1 t=1964
yi nei 	以內	c=1 d=1 t=699
yi qi 	一起	c=3 d=1.70655 t=1438
yi qian 	以前	c=2 d=1.01813 t=1491
yi xie 	一些	c=1 d=0.305746 t=2084
yi zhi 	一直	c=2 d=0.860708 t=2084
yin pin 	音頻	c=7 d=1.03418 t=2084
yin qi 	引起	c=2 d=1.14299 t=1806
yin ru 	引入	c=1 d=1 t=1337
ying gai 	應該	c=13 d=2.60283 t=2084
ying pan 	硬盤	c=2 d=1.97045 t=982
ying wen 	英文	c=2 d=1.76721 t=817
ying xiang 	影響	c=3 d=0.137376 t=1957
ying yong 	應用	c=2 d=1.17793 t=2084
ying yong cheng xu 	應用程序	c=1 d=0.591555 t=2084
yong 	用	c=9 d=1.9948 t=2010
yong de 	用的	c=1 d=1 t=680
yong fa 	用法	c=1 d=1 t=1461
yong hu 	用戶	c=15 d=3.52486 t=2084
you 	又	c=3 d=0.939258 t=2084
you 	右	c=14 d=2.45548 t=2084
you 	有	c=12 d=2.21469 t=2084
you de 	有的	c=1 d=1 t=1102
you duo ge 	有多個	c=1 d=1 t=630
you ge 	有個	c=3 d=1.39675 t=2007
you ji ge 	有幾個	c=1 d=1 t=776
you jian 	右鍵	c=1 d=1 t=2030
you jian 	郵件	c=1 d=1 t=956
you kong 	有空	c=5 d=1.02252 t=2003
you kong le 	有空了	c=1 d=1 t=619
you kong me 	有空麼	c=1 d=1 t=821
you wen ti 	有問題	c=4 d=0.519442 t=2084
you xie 	有些	c=1 d=1 t=851
you zhe ge 	有這個	c=1 d=0.571209 t=2084
yu yin 	語音	c=1 d=1 t=1072
yuan duan 	遠端	c=1 d=1 t=1052
yuan yin 	原因	c=5 d=1.90086 t=1926
yue 	月	c=1 d=0.960789 t=2084
yue ge 	樂歌	c=1 d=1 t=2037
yue ge 	約個	c=1 d=1 t=2042
yue hui 	約會	c=1 d=1 t=1835
yun 	雲	c=2 d=0.802519 t=2084
yun wei 	運維	c=3 d=0.932394 t=2084
za 	咋	c=2 d=0.913931 t=2084
zai 	再	c=12 d=4.11239 t=2084
zai 	在	c=9 d=2.21406 t=2084
zai ce shi xia 	再測試下	c=1 d=0.318224 t=2084
zai na 	在哪	c=0 d=0.1 t=1513
zai na ge 	在哪個	c=1 d=1 t=1514
zan me 	咱麼	c=2 d=1.00438 t=1784
zan men 	咱們	c=3 d=1.0596 t=1786
zao shang 	早上	c=3 d=1.81947 t=2084
zen me 	怎麼	c=4 d=1.24689 t=2084
zhan yong 	佔用	c=1 d=1 t=1000
zhang 	張	c=1 d=0.995012 t=2084
zhao 	找	c=1 d=1 t=643
zhao dao 	找到	c=1 d=1 t=724
zhao ni 	找你	c=1 d=1 t=1694
zhao wei 	召偉	c=1 d=1 t=647
zhao xia 	找下	c=1 d=1 t=705
zhe 	這	c=1 d=1 t=575
zhe bian 	這邊	c=6 d=0.453845 t=2084
zhe chang 	這場	c=1 d=1 t=1519
zhe dou shi 	這都是	c=1 d=1 t=1249
zhe ge 	這個	c=65 d=5.33532 t=2084
zhe ge tong bi jiao 	這個同比較	c=1 d=1 t=1671
zhe kuai 	這塊	c=1 d=1 t=1169
zhe li 	這裏	c=1 d=1 t=1962
zhe shi hou 	這時候	c=1 d=0.244143 t=2084
zhe tai 	這臺	c=1 d=1 t=1755
zhe zhong 	這種	c=1 d=1 t=1215
zheng chang 	正常	c=2 d=1.74826 t=815
zheng zai 	正在	c=1 d=1 t=937
zhi 	只	c=0 d=0.149411 t=1301
zhi chi 	支持	c=3 d=0.798516 t=2084
zhi chi de 	支持的	c=1 d=1 t=1137
zhi chi ren 	支持人	c=1 d=1 t=1100
zhi dao 	知道	c=4 d=2.7529 t=1925
zhi dao le 	知道了	c=0 d=0.0416862 t=2084
zhi gai le 	只改了	c=1 d=1 t=1161
zhi hou 	之後	c=2 d=0.822835 t=2084
zhi hui tui 	只回退	c=1 d=1 t=1302
zhi jie 	直接	c=3 d=1.11628 t=1766
zhi shi 	只是	c=1 d=1 t=1559
zhi xin 	志新	c=1 d=1 t=556
zhong 	中	c=6 d=1.16573 t=2084
zhong dian 	重點	c=1 d=1 t=854
zhong jian 	中間	c=1 d=0.726149 t=2084
zhong tu 	中途	c=1 d=1 t=1968
zhong wen 	中文	c=3 d=0.960789 t=2084
zhong wu 	中午	c=1 d=1 t=1938
zhu chi ren 	主持人	c=11 d=4.26488 t=2084
zhu dong 	主動	c=1 d=1 t=1932
zhu shi 	註釋	c=1 d=1 t=1532
zhu ti 	主題	c=1 d=1 t=1670
zhu yao 	主要	c=4 d=1.71963 t=1229
zhuang le 	裝了	c=1 d=1 t=1888
zhuang tai 	狀態	c=20 d=3.02292 t=2084
zhuang xia 	裝下	c=1 d=1 t=1893
zi duan 	字段	c=1 d=0.810584 t=2084
zi ji 	自己	c=4 d=1.51815 t=1405
zi wo 	自我	c=3 d=1.71154 t=1494
zi xi tong 	子系統	c=1 d=1 t=1007
zou bu dao 	走不到	c=1 d=1 t=1961
zou lang 	走廊	c=2 d=0.538793 t=2084
zou lang mo shi 	走廊模式	c=1 d=0.268474 t=2084
zui 	最	c=0 d=0.196531 t=2084
zui di xia 	最地下	c=1 d=0.985112 t=2084
zui di xia 	最底下	c=1 d=0.99005 t=2084
zui hao 	最好	c=1 d=1 t=693
zui qing chu 	最清楚	c=1 d=1 t=1643
zui xin 	最新	c=1 d=1 t=1751
zuo guo 	做過	c=0 d=0.1 t=2025
zuo jiu 	做就	c=1 d=1 t=1703
zuo xia 	做下	c=1 d=1 t=1272
zuo you 	左右	c=2 d=0.955997 t=2084
